Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Temperature Anomaly,K,0.489235549784,0.5107071497614999,0.6763216597120999,0.6782961723066999,0.8740431300327,0.9643839607007,1.06040184326,1.230201152202,1.3724098988320002,1.587303009335,1.754728506855,1.937838033855,2.159268402669,2.333954514052,2.530989818262,2.666339823801,2.81143580987,2.93195748716,3.078179981601,3.185829172718,3.300813036061,3.413135890347,3.512400397164,3.62557245555,3.70517440656,3.791104389386,3.867305573235,3.96561527168,4.023297961111,4.109635062699,4.188137110819,4.301208975325999,4.385988106278,4.477486572369,4.562080492882999
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions,MtCO2/Year,26418.3826435,25226.70430721,26610.98875035,28764.73985119,31126.82939992,35595.70895597,38601.91736814,41131.00739773,42451.67969619,45003.61371438,45293.48775746,43392.16162766,39236.39816889,36654.34736944,34159.44964393,32042.69070007,29986.00651465,28125.27685544,26434.28814978,25085.24670596,23671.52551002,23337.24427786,23432.60195156,23942.56833967,24428.40368902,25457.33065876,25842.8031141,26714.12172211,26859.52494924,26998.56316756,27229.59273882,27439.61025413,28489.82789656,28192.68034101,28363.39572145
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions|Energy,MtCO2/Year,18847.77803195,19116.45125718,20463.31843693,22801.57233922,25376.08557101,29308.16726533,32099.21437261,34264.77348805,35517.680699180004,37527.6321892,38297.13038324,35110.06061877,30760.0241638,27196.43460303,24016.15983318,21290.52551018,18852.94142205,16741.28566946,14899.53004729,13335.37705186,11929.83813098,10904.99089858,10521.22816053,10395.96288008,10279.76415956,10203.64686368,10025.93160066,9779.392510911,9468.78568592,9113.805038739,8782.399344911,8448.10772953,8121.190544062,7821.418408128999,7513.041948876
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions|Food and Land Use,MtCO2/Year,7195.469298491,5900.326349009,5881.153898649,5633.619102218,5182.006698412,5513.196164978,5351.911510452001,5422.413511632,5195.1484561980005,5297.425733757,4742.507096125,5283.423739783,5486.057677709,5983.602627009999,6353.407393795999,6378.284119802,6294.075828005,6035.649352964,5797.718423766,5500.524804805,5313.756920954001,5197.516828389,5282.574154433,5262.085687807999,5238.344277028,5267.687709805,5231.731405759,5277.581967849999,5311.478949443,5292.385526378999,5370.11953824,5374.826681951,5360.74664682,5487.236723727,5403.500048726
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Solar,GW,0.745,0.6556544283527,0.5589871446327,0.4445817185001,5.006595332101999,34.67755340676,56.63278233663,149.37976807989995,521.0408405791999,1108.391682007,1945.108782086,2934.169388749,4145.014342238999,5496.953411478,6748.579569707999,7902.971949066,8779.966740020001,9439.666296492,9900.759046374,10302.68496319,10697.68010667,10965.13948601,11104.53324955,11383.345642339998,11802.18057557,12373.44379595,12986.7638118,13438.59946826,13755.84343735,13956.432763039998,14187.339948059996,14463.37560744,14816.355637319995,15168.57848229,15632.405535689995
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Wind,GW,0.745,0.6556546466068001,0.558988014887,0.4654805345217999,0.5021916826121999,17.87891892974,146.6908472865,463.8268778011,935.8331089,1682.080863215,2645.785291231,3649.479580841,4728.198475766,5920.479672456999,6919.629715797999,7787.859875509,8479.10538231,8968.834158044,9189.775833081,9449.878945486,9623.055704909,9723.697677675,9700.61593626,9794.792055773,10040.519493653,10345.78722252,10675.41786477,10939.86940448,11126.731221339998,11202.53169818,11230.48002386,11396.8402228,11511.149238609998,11646.18210544,11880.51996026
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Biomass,Mt/Year,6.380505104,22.04082522937,20.23563928168,33.02060424694,45.91983206276999,55.68719990187,137.67946289809998,191.6700359749,246.8911016064,328.9887037112,266.4555484164,341.1318390734,596.9238336853,1021.002068361,1519.618743411,2015.844139051,2442.134680023,2790.287293617,3032.858654169,3213.198049819,3325.971188806,3445.207391509,3642.374862492,3870.449514564,4102.505600572,4300.865606590999,4431.297826769999,4504.061964497,4576.124343591,4598.1337935990005,4612.830569665,4656.799812926,4667.442816136,4687.80029033,4699.2710757370005
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Production|Biomass,Mt/Year,5.666528827789,19.79462565461,18.30225983991,29.82936383799,42.15898320317,50.33148950054,125.2674374343,176.4656698704,227.9869610056,303.5661514009,254.7552862929,314.7353071295,549.4687140496,937.0155087525,1404.90655245,1885.773590142,2313.378516901,2664.3053610730003,2929.41003884,3114.914951781,3251.570550717,3367.971792808,3555.286005837,3771.326098161,4002.981954832,4203.811907695,4359.377043805,4446.097678036,4496.93297446,4523.289737286,4545.176369971,4589.254683215,4608.422453627,4630.152717401,4650.866768149999
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Coal,c$,2213259000000.0,2165987257033.0,2238305470863.0,2530673082155.0,2866573501100.0,3455790062922.0,3921117228335.0,4079574690398.0,4153205391811.0,4437624158613.0,4496612247012.0,3848925872685.0,2998363730555.0,2323642673381.0,1796642415333.0,1388341024760.0,1071454836384.0,826017796943.2,636483201034.0,489785459491.5,376271936632.7,291205401197.2,296851040212.7,345639865897.4,408591109259.4,456408343980.2,493522091111.2,513267954170.0999,523985868411.5999,514901211855.8,499990351955.1,472275403597.2,444783446338.0,404390483986.2,358116220788.7
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Gas,c$,2106663500000.0,2304971985578.0,2676869148461.0,3122562032966.0,3465894848031.0,3895413545858.0,4184383530249.0,4657602945948.0,5030371727987.0,5533180788153.0,5846006830636.0,6124797625489.0,6179305265266.0,6266174181616.0,6248397005385.0,6123168713644.0,5862468230133.0,5562632172356.0,5213554248334.0,4827643645479.0,4442738490474.0,4157358413048.0,4023203713430.0,3936632902305.0,3850702974883.0,3758451544726.0,3662860964671.0,3526412894537.0,3374849543827.0,3230238877137.0,3083278836866.0,2945558115482.0,2802091208529.0,2684601243671.0,2570238048031.0
